"","statNm","addr","lat","lng","useTime"
"84","한국공항공사 부산지역본부 김해공항 옥외주차장","부산광역시 강서구 공항진입로 108","35.171750","128.950861","24시간 이용가능"
"85","한국공항공사 부산지역본부 김해공항 옥외주차장","부산광역시 강서구 공항진입로 108","35.171750","128.950861","24시간 이용가능"
"86","장안휴게소(부산방향)","부산광역시 기장군 장안읍 동해고속도로 25","35.37808076","129.24623603","24시간 이용가능"
"87","장안휴게소(울산방향)","부산광역시 기장군 장안읍 동해고속도로 26","35.38195967","129.24867346","24시간 이용가능"
"88","부산 해군회관","부산광역시 남구 용호동 947-1","35.10504679","129.11624615","24시간 이용가능"
"89","바다별 어린이집","부산광역시 남구 용당동 454-2","35.12019375","129.09663534","24시간 이용가능"
"90","바다별 어린이집","부산광역시 남구 용당동 454-2","35.12019375","129.09663534","24시간 이용가능"
"91","해성스포렉스 주차장","부산광역시 강서구 공항진입로42번길20","35.18264211","128.95286651","24시간 이용가능"
"92","해성스포렉스 주차장","부산광역시 강서구 공항진입로42번길20","35.18264211","128.95286651","24시간 이용가능"
"93","신해운대역(제7508부대 면회실)","부산광역시 해운대구 좌동 사서함 321-16호","35.1813107","129.17902065",""
"94","신해운대역(제7508부대 면회실)","부산광역시 해운대구 좌동 사서함 321-16호","35.1813107","129.17902065",""
"95","해운대자동차검사소","부산광역시 해운대구 센텀동로 201","35.1840451","129.1197533","월~금 완전개방, 토~일 미개방"
"96","해운대자동차검사소","부산광역시 해운대구 센텀동로 201","35.1840451","129.1197533","월~금 완전개방, 토~일 미개방"
"97","기장현대차드림볼파크","부산광역시 기장군 일광면 동백리 425-1","35.2968649","129.2431714","24시간 이용가능"
"98","기장현대차드림볼파크","부산광역시 기장군 일광면 동백리 425-1","35.2968649","129.2431714","24시간 이용가능"
"99","이마트 T명지S점","부산광역시 강서구 명지국제6로 168","35.092899","128.918406","10:00 ~ 23:00"
"100","이마트 T명지S점","부산광역시 강서구 명지국제6로 168","35.092899","128.918406","10:00 ~ 23:00"
